Age in Months	Height (CDC)		
	L	M	S
163.5	1.0523	159.4557	0.0419
164.5	1.0294	159.6882	0.0417
165.5	1.0083	159.9058	0.0415
166.5	0.9891	160.1094	0.0413
167.5	0.9718	160.2997	0.0412
168.5	0.9566	160.4777	0.0410
169.5	0.9432	160.6441	0.0409
170.5	0.9318	160.7995	0.0408
171.5	0.9221	160.9449	0.0407
172.5	0.9140	161.0808	0.0406
173.5	0.9075	161.2079	0.0405
174.5	0.9025	161.3268	0.0404
175.5	0.8987	161.4381	0.0403
176.5	0.8961	161.5423	0.0403
177.5	0.8947	161.6399	0.0402
178.5	0.8941	161.7315	0.0402
179.5	0.8945	161.8174	0.0401
180.5	0.8956	161.8980	0.0401
181.5	0.8973	161.9738	0.0400
182.5	0.8997	162.0450	0.0400
183.5	0.9025	162.1120	0.0400
184.5	0.9058	162.1752	0.0400
185.5	0.9094	162.2347	0.0399
186.5	0.9134	162.2908	0.0399
187.5	0.9176	162.3439	0.0399
188.5	0.9220	162.3940	0.0399
189.5	0.9266	162.4414	0.0399
190.5	0.9314	162.4862	0.0398
191.5	0.9362	162.5287	0.0398
192.5	0.9411	162.5690	0.0398
193.5	0.9461	162.6072	0.0398
194.5	0.9511	162.6435	0.0398
195.5	0.9561	162.6781	0.0398
196.5	0.9611	162.7109	0.0398
197.5	0.9661	162.7421	0.0398
198.5	0.9710	162.7719	0.0398
199.5	0.9759	162.8002	0.0398
200.5	0.9808	162.8273	0.0398
201.5	0.9856	162.8531	0.0397
202.5	0.9903	162.8778	0.0397
203.5	0.9949	162.9013	0.0397
204.5	0.9995	162.9238	0.0397
205.5	1.0040	162.9454	0.0397
206.5	1.0084	162.9660	0.0397
207.5	1.0127	162.9858	0.0397
208.5	1.0169	163.0047	0.0397
209.5	1.0211	163.0228	0.0397
210.5	1.0251	163.0402	0.0397
211.5	1.0291	163.0569	0.0397
212.5	1.0330	163.0729	0.0397
213.5	1.0368	163.0882	0.0397
214.5	1.0405	163.1030	0.0397
215.5	1.0441	163.1172	0.0397
216.5	1.0476	163.1308	0.0397
