Intercept y y2s y3s y4s x x2s x3s x4s w w2s w3s w4s quantile type sex
38.8799 -0.7551 0.4856 2.7340 -15.7989 0.1860 -0.0008 0.0370 -0.1615 -0.0449 0.2920 -0.3993 0.1186 0.4 dia F
41.2743 -0.9011 0.6699 2.2512 -16.8137 0.1795 -0.0009 0.0420 -0.1746 -0.0484 0.2216 -0.2930 0.0726 0.41 dia F
42.2558 -1.0062 0.7158 2.6789 -19.1943 0.1817 -0.0009 0.0441 -0.1858 -0.0468 0.0978 -0.1120 0.0020 0.42 dia F
40.2612 -0.9872 0.7444 1.7973 -16.1566 0.1974 -0.0012 0.0445 -0.1857 -0.0476 0.1203 -0.1402 0.0055 0.43 dia F
43.6457 -1.0069 0.7340 1.9082 -15.7760 0.1751 -0.0005 0.0411 -0.1774 -0.0540 0.2098 -0.2758 0.0684 0.44 dia F
37.4261 -1.0061 0.8119 0.7582 -12.6239 0.2262 -0.0023 0.0517 -0.2087 -0.0439 0.0866 -0.0919 -0.0122 0.45 dia F
39.6219 -1.2657 1.1924 -1.7105 -7.6258 0.2280 -0.0027 0.0582 -0.2341 -0.0470 -0.0208 0.0811 -0.1069 0.46 dia F
40.8430 -1.2324 1.2238 -1.9885 -7.0689 0.2204 -0.0032 0.0673 -0.2749 -0.0429 -0.1374 0.2503 -0.1721 0.47 dia F
43.5592 -1.2444 1.2281 -1.7233 -8.2869 0.2012 -0.0024 0.0607 -0.2564 -0.0432 -0.1732 0.3033 -0.1943 0.48 dia F
44.6015 -1.2557 1.2143 -1.1069 -11.0077 0.1970 -0.0025 0.0620 -0.2557 -0.0368 -0.2817 0.4521 -0.2374 0.49 dia F
43.4310 -1.4836 1.4844 -2.8301 -7.6910 0.2221 -0.0031 0.0664 -0.2718 -0.0343 -0.3518 0.5529 -0.2744 0.5 dia F
40.2503 -1.5293 1.5113 -3.3498 -5.9574 0.2524 -0.0038 0.0674 -0.2644 -0.0307 -0.3766 0.5899 -0.2912 0.51 dia F
