Age_months,L.boys,M.boys,S.boys,L.girls,M.girls,S.girls
91.5,0.5512,125.6331,0.0448,-0.1428,125.3985,0.0457
92.5,0.5283,126.1374,0.0449,-0.1308,125.8956,0.0458
93.5,0.5071,126.6388,0.0449,-0.1184,126.3869,0.0458
94.5,0.4879,127.137,0.045,-0.1056,126.8724,0.0459
95.5,0.4706,127.632,0.0451,-0.0926,127.3522,0.0459
96.5,0.4553,128.1237,0.0451,-0.0793,127.8263,0.046
97.5,0.4419,128.6119,0.0452,-0.0658,128.2947,0.046
98.5,0.4306,129.0966,0.0453,-0.0522,128.7576,0.0461
99.5,0.4213,129.5777,0.0454,-0.0385,129.2152,0.0461
100.5,0.4139,130.055,0.0454,-0.0247,129.6675,0.0462
101.5,0.4084,130.5286,0.0455,-0.011,130.1148,0.0463
102.5,0.4048,130.9983,0.0456,0.0027,130.5574,0.0463
103.5,0.4029,131.4641,0.0457,0.0164,130.9954,0.0464
104.5,0.4026,131.926,0.0458,0.0301,131.4293,0.0465
105.5,0.4039,132.384,0.0459,0.0436,131.8593,0.0466
106.5,0.4066,132.8381,0.046,0.0571,132.2859,0.0467
107.5,0.4106,133.2882,0.0461,0.0706,132.7094,0.0468
108.5,0.4157,133.7345,0.0462,0.0841,133.1304,0.0469
109.5,0.4218,134.1769,0.0463,0.0977,133.5493,0.047
110.5,0.4287,134.6155,0.0464,0.1115,133.9667,0.0471
111.5,0.4362,135.0504,0.0465,0.1254,134.3832,0.0472
112.5,0.4442,135.4818,0.0467,0.1397,134.7995,0.0474
113.5,0.4526,135.9097,0.0468,0.1544,135.2163,0.0475
114.5,0.461,136.3343,0.0469,0.1698,135.6342,0.0477
115.5,0.4695,136.7557,0.047,0.1859,136.054,0.0478
116.5,0.4777,137.1742,0.0471,0.203,136.4766,0.048
117.5,0.4856,137.5899,0.0473,0.2212,136.9027,0.0482
118.5,0.4929,138.0032,0.0474,0.2408,137.3333,0.0483
119.5,0.4997,138.4143,0.0475,0.2619,137.7691,0.0485
120.5,0.5056,138.8234,0.0476,0.2847,138.2112,0.0487
121.5,0.5106,139.231,0.0477,0.3096,138.6602,0.0489
122.5,0.5145,139.6373,0.0478,0.3366,139.1172,0.0491
123.5,0.5174,140.0427,0.048,0.3659,139.5829,0.0493
124.5,0.519,140.4477,0.0481,0.3977,140.0581,0.0495
125.5,0.5195,140.8527,0.0482,0.4321,140.5435,0.0496
126.5,0.5186,141.2582,0.0483,0.4692,141.0397,0.0498
127.5,0.5164,141.6646,0.0484,0.5089,141.5472,0.05
128.5,0.513,142.0725,0.0485,0.5514,142.0664,0.0501
129.5,0.5084,142.4824,0.0486,0.5963,142.5974,0.0503
130.5,0.5025,142.8949,0.0487,0.6436,143.1404,0.0504
131.5,0.4957,143.3107,0.0488,0.6931,143.695,0.0505
132.5,0.4879,143.7304,0.0489,0.7443,144.2609,0.0505
133.5,0.4794,144.1545,0.049,0.7969,144.8376,0.0506
134.5,0.4704,144.5838,0.0491,0.8505,145.424,0.0506
135.5,0.4611,145.019,0.0492,0.9044,146.0192,0.0505
136.5,0.4519,145.4607,0.0493,0.9581,146.6217,0.0505
137.5,0.4429,145.9097,0.0494,1.0111,147.23,0.0504
138.5,0.4346,146.3665,0.0495,1.0625,147.8424,0.0502
139.5,0.4273,146.832,0.0496,1.1117,148.4569,0.05
140.5,0.4215,147.3066,0.0497,1.1581,149.0714,0.0498
141.5,0.4175,147.7911,0.0497,1.2011,149.6839,0.0496
142.5,0.4158,148.2859,0.0498,1.2399,150.292,0.0493
143.5,0.4168,148.7917,0.0499,1.274,150.8936,0.0489
144.5,0.4209,149.3088,0.0499,1.303,151.4866,0.0486
145.5,0.4286,149.8376,0.05,1.3266,152.0687,0.0482
146.5,0.4402,150.3784,0.0501,1.3444,152.6381,0.0478
147.5,0.4561,150.9313,0.0501,1.3564,153.193,0.0474
148.5,0.4765,151.4964,0.0502,1.3626,153.7317,0.047
149.5,0.5018,152.0735,0.0502,1.3631,154.2529,0.0466
150.5,0.532,152.6624,0.0503,1.3582,154.7555,0.0462
151.5,0.5672,153.2627,0.0503,1.3482,155.2385,0.0458
152.5,0.6075,153.8738,0.0503,1.3338,155.7012,0.0454
153.5,0.6527,154.4951,0.0503,1.3154,156.1432,0.045
154.5,0.7028,155.1255,0.0504,1.2937,156.5643,0.0446
155.5,0.7574,155.7642,0.0504,1.2693,156.9644,0.0442
156.5,0.8162,156.4099,0.0503,1.243,157.3437,0.0439
157.5,0.8789,157.0612,0.0503,1.2153,157.7025,0.0435
158.5,0.9451,157.7168,0.0503,1.187,158.0411,0.0432
159.5,1.014,158.3751,0.0502,1.1585,158.3603,0.0429
160.5,1.0854,159.0344,0.0501,1.1304,158.6606,0.0426
161.5,1.1585,159.6931,0.05,1.1031,158.9427,0.0424
162.5,1.2328,160.3493,0.0499,1.077,159.2075,0.0421
163.5,1.3076,161.0015,0.0498,1.0523,159.4557,0.0419
164.5,1.3825,161.6478,0.0497,1.0294,159.6882,0.0417
165.5,1.4567,162.2865,0.0495,1.0083,159.9058,0.0415
166.5,1.5298,162.9161,0.0493,0.9891,160.1094,0.0413
167.5,1.6012,163.535,0.0491,0.9718,160.2997,0.0412
168.5,1.6704,164.1418,0.0489,0.9566,160.4777,0.041
169.5,1.737,164.7352,0.0487,0.9432,160.6441,0.0409
170.5,1.8005,165.314,0.0485,0.9318,160.7995,0.0408
171.5,1.8605,165.8771,0.0483,0.9221,160.9449,0.0407
172.5,1.9168,166.4236,0.048,0.914,161.0808,0.0406
173.5,1.9689,166.9528,0.0478,0.9075,161.2079,0.0405
174.5,2.0168,167.4641,0.0475,0.9025,161.3268,0.0404
175.5,2.0601,167.9571,0.0472,0.8987,161.4381,0.0403
176.5,2.0988,168.4313,0.047,0.8961,161.5423,0.0403
177.5,2.1326,168.8867,0.0467,0.8947,161.6399,0.0402
178.5,2.1617,169.3231,0.0464,0.8941,161.7315,0.0402
179.5,2.1858,169.7405,0.0462,0.8945,161.8174,0.0401
180.5,2.2052,170.1393,0.0459,0.8956,161.898,0.0401
181.5,2.2197,170.5195,0.0456,0.8973,161.9738,0.04
182.5,2.2296,170.8815,0.0454,0.8997,162.045,0.04
183.5,2.2349,171.2257,0.0451,0.9025,162.112,0.04
184.5,2.2358,171.5525,0.0448,0.9058,162.1752,0.04
185.5,2.2326,171.8626,0.0446,0.9094,162.2347,0.0399
186.5,2.2253,172.1563,0.0444,0.9134,162.2908,0.0399
187.5,2.2144,172.4343,0.0441,0.9176,162.3439,0.0399
188.5,2.1999,172.6972,0.0439,0.922,162.394,0.0399
189.5,2.1823,172.9456,0.0437,0.9266,162.4414,0.0399
190.5,2.1617,173.1801,0.0435,0.9314,162.4862,0.0398
191.5,2.1385,173.4014,0.0433,0.9362,162.5287,0.0398
192.5,2.113,173.6101,0.0431,0.9411,162.569,0.0398
193.5,2.0855,173.8067,0.0429,0.9461,162.6072,0.0398
194.5,2.0562,173.992,0.0427,0.9511,162.6435,0.0398
195.5,2.0255,174.1665,0.0426,0.9561,162.6781,0.0398
196.5,1.9936,174.3308,0.0424,0.9611,162.7109,0.0398
197.5,1.9608,174.4854,0.0423,0.9661,162.7421,0.0398
198.5,1.9273,174.631,0.0421,0.971,162.7719,0.0398
199.5,1.8934,174.768,0.042,0.9759,162.8002,0.0398
200.5,1.8593,174.8969,0.0418,0.9808,162.8273,0.0398
201.5,1.8252,175.0182,0.0417,0.9856,162.8531,0.0397
202.5,1.7913,175.1323,0.0416,0.9903,162.8778,0.0397
203.5,1.7578,175.2398,0.0415,0.9949,162.9013,0.0397
204.5,1.7247,175.341,0.0414,0.9995,162.9238,0.0397
205.5,1.6923,175.4362,0.0413,1.004,162.9454,0.0397
206.5,1.6607,175.5259,0.0412,1.0084,162.966,0.0397
207.5,1.6298,175.6104,0.0411,1.0127,162.9858,0.0397
208.5,1.6,175.6901,0.0411,1.0169,163.0047,0.0397
209.5,1.5711,175.7652,0.041,1.0211,163.0228,0.0397
210.5,1.5433,175.836,0.0409,1.0251,163.0402,0.0397
211.5,1.5165,175.9028,0.0409,1.0291,163.0569,0.0397
212.5,1.4909,175.9658,0.0408,1.033,163.0729,0.0397
213.5,1.4665,176.0254,0.0408,1.0368,163.0882,0.0397
214.5,1.4431,176.0816,0.0407,1.0405,163.103,0.0397
215.5,1.421,176.1348,0.0407,1.0441,163.1172,0.0397
216.5,1.4,176.185,0.0406,1.0476,163.1308,0.0397
