"VISIT" "mean_dif_days" "max_dif_yr" "sd_dif_days"
"1" 20 1.94882483370288 1.16 73.7595215364266
"2" 40 8.55193236714975 2.241 128.601336047263
"3" 60 1.37189655172413 1.898 90.5563086911294
"4" 80 -6.982868852459 0.213 16.4751414374054
"5" 100 -8.39499999999989 -0.0229999999999997 NA
