"" "NL" "WCH" "MH" "AH" "Sum"
"0" 53 6 61 34 154
"1" 112 7 95 37 251
"2" 22 0 30 16 68
"3" 3 1 2 6 12
"4" 0 0 1 3 4
"Sum" 190 14 189 96 489
