"VISIT" "mean_dif_days" "max_dif_yr" "sd_dif_days"
"1" 20 5.12942350332594 2.168 45.1727041094045
"2" 40 6.3592054263566 2.112 75.978572106271
"3" 60 8.84712903225807 1.809 60.6895933010609
"4" 80 0.263354430379712 0.143 19.3956079439082
"5" 100 1.09500000000004 0.00300000000000011 NA
