120,31,1.123,104.5,0.063 1.291,,110.8,0.069 0.053,,93.6,0.077 1.177,,65.6,0.087,1.345,72.3,0.087,0.440,54.3,0.089 1.747,,77.5,0.076,0.135,83.8,0.081 2.736,,66.8,0.084
125,25,0.991,105.3,0.064 1.007,,111.1,0.069 0.314,,94.6,0.079 0.957,,65.9,0.087,1.436,72.3,0.086,0.430,54.8,0.092 1.352,,78.1,0.076,0.368,84.1,0.080 2.305,,67.6,0.085
130,25,0.856,106.2,0.065 0.710,,111.5,0.069 0.570,,95.6,0.080 0.733,,66.1,0.087,1.531,72.2,0.086,0.421,55.1,0.095 0.951,,78.7,0.076,0.604,84.3,0.079 1.867,,68.3,0.086
135,44,0.709,107.2,0.066 0.380,,112.0,0.068 0.807,,96.7,0.081 0.511,,66.4,0.086,1.629,72.1,0.085,0.410,55.5,0.098 0.547,,79.3,0.076,0.844,84.5,0.078 1.411,,69.0,0.087
140,50,0.556,108.3,0.066 0.075,,112.7,0.067 0.997,,97.9,0.082 0.322,,66.6,0.086,1.711,72.1,0.083,0.398,55.8,0.100 0.148,,79.9,0.075,1.083,84.7,0.077 0.932,,69.6,0.087
145,48,0.406,109.5,0.067,0.117,113.7,0.067 1.106,,99.0,0.082 0.183,,66.9,0.085,1.763,72.1,0.082,0.391,56.0,0.101,0.235,80.5,0.076,1.309,85.0,0.076 0.427,,70.1,0.087
150,43,0.275,110.9,0.067,0.125,115.1,0.067 1.126,,100.1,0.081 0.107,,67.1,0.084,1.777,72.1,0.081,0.395,56.2,0.101,0.589,81.1,0.076,1.509,85.4,0.076,0.092,70.6,0.087
155,32,0.155,112.5,0.067 0.031,,116.8,0.066 1.068,,101.3,0.081 0.110,,67.2,0.083,1.740,72.1,0.080,0.413,56.2,0.101,0.914,81.7,0.076,1.680,85.8,0.076,0.620,71.2,0.086
160,39,0.017,114.2,0.067 0.251,,118.6,0.067 0.948,,102.6,0.080 0.189,,67.3,0.083,1.650,72.2,0.081,0.442,56.3,0.100,1.217,82.3,0.077,1.829,86.4,0.076,1.159,71.9,0.085
165,29,0.154,116.1,0.066 0.431,,120.6,0.068 0.795,,104.1,0.079 0.324,,67.5,0.082,1.509,72.3,0.081,0.487,56.5,0.099,1.509,83.1,0.077,1.963,87.1,0.078,1.706,72.7,0.084
170,28,0.378,118.0,0.066 0.463,,122.6,0.069 0.626,,105.6,0.079 0.479,,67.6,0.081,1.329,72.6,0.082,0.556,56.7,0.097,1.805,83.9,0.077,2.092,88.0,0.080,2.269,73.6,0.082
175,31,0.651,119.7,0.064 0.373,,124.4,0.069 0.451,,107.2,0.078 0.635,,67.8,0.080,1.136,72.8,0.082,0.647,56.9,0.096,2.110,84.7,0.078,2.226,89.0,0.082,2.843,74.5,0.080
180,20,0.942,121.5,0.063 0.244,,126.2,0.069 0.277,,108.7,0.078 0.785,,68.0,0.078,0.939,73.1,0.083,0.755,57.1,0.094,2.423,85.5,0.078,2.364,90.0,0.084,3.425,75.4,0.078
185,19,1.240 123.2,,0.061 0.098 128.0,,,0.069 0.100,,110.2,0.078 0.932 68.2,,,0.077,0.741,73.4,0.083,0.871,57.3,0.093,2.737,86.3,0.079,2.503,91.0,0.087,4.010,76.2,0.075
