"","VISIT","date_mean","date_min","date_max","n_pts"
"1",20,1.09169920318725,-0.172,2.398,502
"2",40,3.13352091254753,1.342,5.252,263
"3",50,4.085,4.085,4.085,1
"4",60,5.11945833333333,3.389,6.842,168
"5",80,7.06815384615385,6.3,7.883,78
"6",100,8.8225,8.772,8.873,2
