"VISIT" "mean_dif_days" "max_dif_yr" "sd_dif_days"
"1" 20 -0.628671641791045 1.158 76.8138645595603
"2" 40 4.32753125 0.854 43.6000340538384
"3" 60 10.0120348837209 1.878 94.8037719073949
"4" 80 -5.53472727272731 0.215999999999999 28.9003592893561
"5" 100 -7.29999999999984 -0.0199999999999996 NA
