"","VISIT","mean_dif_days","max_dif_yr","sd_dif_yr"
"1",20,10.0610278745645,1.158,0.179354568613939
"2",40,15.2612662337662,2.239,0.249174775323921
"3",50,2.92,0.00800000000000001,NA
"4",60,3.88664835164835,1.9,0.21364631658053
"5",80,-5.99472826086958,0.215999999999999,0.0621098342438181
"6",100,-5.47499999999999,-0.00600000000000023,0.00781024967590642
